Brand,Model,128GB 12GB RAM_128GB 12GB RAM,128GB 12GB RAM_256GB 12GB RAM,128GB 12GB RAM_256GB 8GB RAM,128GB 12GB RAM_512GB 12GB RAM,128GB 12GB RAM_512GB 16GB RAM,128GB 16GB RAM_128GB 16GB RAM,128GB 16GB RAM_256GB 16GB RAM,128GB 16GB RAM_512GB 16GB RAM,128GB 4GB RAM_128GB 4GB RAM,128GB 4GB RAM_128GB 6GB RAM,128GB 4GB RAM_128GB 8GB RAM,128GB 4GB RAM_256GB 4GB RAM,128GB 4GB RAM_256GB 6GB RAM,128GB 4GB RAM_256GB 8GB RAM,128GB 4GB RAM_512GB 4GB RAM,128GB 4GB RAM_512GB 8GB RAM,128GB 4GB RAM_64GB 3GB RAM,128GB 4GB RAM_64GB 4GB RAM,128GB 4GB RAM_64GB 6GB RAM,128GB 6GB RAM_128GB 4GB RAM,128GB 6GB RAM_128GB 6GB RAM,128GB 6GB RAM_128GB 8GB RAM,128GB 6GB RAM_256GB 12GB RAM,128GB 6GB RAM_256GB 6GB RAM,128GB 6GB RAM_256GB 8GB RAM,128GB 6GB RAM_512GB 6GB RAM,128GB 6GB RAM_64GB 4GB RAM,128GB 6GB RAM_64GB 6GB RAM,128GB 8GB RAM_128GB 12GB RAM,128GB 8GB RAM_128GB 4GB RAM,128GB 8GB RAM_128GB 6GB RAM,128GB 8GB RAM_128GB 8GB RAM,128GB 8GB RAM_256GB 12GB RAM,128GB 8GB RAM_256GB 16GB RAM,128GB 8GB RAM_256GB 8GB RAM,128GB 8GB RAM_512GB 12GB RAM,128GB 8GB RAM_512GB 8GB RAM,128GB 8GB RAM_64GB 4GB RAM,128MB 48MB RAM_128MB 48MB RAM,128MB 64MB RAM_128MB 64MB RAM,164MB_164MB,16GB 1.5GB RAM_16GB 1.5GB RAM,16GB 2GB RAM_16GB 2GB RAM,1TB 16GB RAM_1TB 16GB RAM,1TB 16GB RAM_512GB 12GB RAM,1TB 24GB RAM_1TB 24GB RAM,256GB 12GB RAM_128GB 12GB RAM,256GB 12GB RAM_128GB 8GB RAM,256GB 12GB RAM_1TB 12GB RAM,256GB 12GB RAM_1TB 16GB RAM,256GB 12GB RAM_1TB 24GB RAM,256GB 12GB RAM_256GB 12GB RAM,256GB 12GB RAM_256GB 16GB RAM,256GB 12GB RAM_256GB 8GB RAM,256GB 12GB RAM_512GB 12GB RAM,256GB 12GB RAM_512GB 16GB RAM,256GB 16GB RAM_1TB 16GB RAM,256GB 16GB RAM_256GB 16GB RAM,256GB 16GB RAM_512GB 16GB RAM,256GB 4GB RAM_128GB 4GB RAM,256GB 4GB RAM_256GB 4GB RAM,256GB 4GB RAM_64GB 4GB RAM,256GB 6GB RAM_256GB 6GB RAM,256GB 8GB RAM_128GB 4GB RAM,256GB 8GB RAM_128GB 6GB RAM,256GB 8GB RAM_128GB 8GB RAM,256GB 8GB RAM_1TB 8GB RAM,256GB 8GB RAM_256GB 12GB RAM,256GB 8GB RAM_256GB 8GB RAM,256GB 8GB RAM_512GB 12GB RAM,256GB 8GB RAM_512GB 8GB RAM,256GB 8GB RAM_64GB 4GB RAM,32GB 1GB RAM_32GB 1GB RAM,32GB 2GB RAM_128GB 4GB RAM,32GB 2GB RAM_32GB 2GB RAM,32GB 2GB RAM_32GB 3GB RAM,32GB 2GB RAM_64GB 3GB RAM,32GB 2GB RAM_64GB 4GB RAM,32GB 3GB RAM_128GB 4GB RAM,32GB 3GB RAM_32GB 3GB RAM,32GB 3GB RAM_64GB 3GB RAM,32GB 3GB RAM_64GB 4GB RAM,32GB/64GB 2GB RAM_32GB/64GB 2GB RAM,32GB_32GB,4GB 512MB RAM_4GB 512MB RAM,512GB 12GB RAM_1TB 12GB RAM,512GB 12GB RAM_1TB 16GB RAM,512GB 12GB RAM_256GB 12GB RAM,512GB 12GB RAM_256GB 8GB RAM,512GB 12GB RAM_512GB 12GB RAM,512GB 12GB RAM_512GB 16GB RAM,512GB 16GB RAM_512GB 16GB RAM,512GB 8GB RAM_128GB 8GB RAM,512GB 8GB RAM_256GB 8GB RAM,512GB 8GB RAM_512GB 8GB RAM,512GB_512GB,64GB 2GB RAM_64GB 2GB RAM,64GB 3GB RAM_128GB 3GB RAM,64GB 3GB RAM_128GB 4GB RAM,64GB 3GB RAM_128GB 6GB RAM,64GB 3GB RAM_256GB 3GB RAM,64GB 3GB RAM_32GB 2GB RAM,64GB 3GB RAM_64GB 3GB RAM,64GB 3GB RAM_64GB 4GB RAM,64GB 4GB RAM_128GB 4GB RAM,64GB 4GB RAM_128GB 6GB RAM,64GB 4GB RAM_128GB 8GB RAM,64GB 4GB RAM_256GB 4GB RAM,64GB 4GB RAM_256GB 6GB RAM,64GB 4GB RAM_32GB 3GB RAM,64GB 4GB RAM_512GB 4GB RAM,64GB 4GB RAM_64GB 3GB RAM,64GB 4GB RAM_64GB 4GB RAM,64GB 4GB RAM_64GB 6GB RAM,64GB 6GB RAM_128GB 6GB RAM,64GB 6GB RAM_128GB 8GB RAM,64GB 6GB RAM_64GB 6GB RAM,64GB_64GB,8GB_8GB,Battery_Charging,Battery_Music play,Battery_Stand-by,Battery_Talk time,Battery_Type,Body_Build,Body_Dimensions,Body_Keyboard,Body_SIM,Body_Weight,Comms_Bluetooth,Comms_Infrared port,Comms_NFC,Comms_Positioning,Comms_Radio,Comms_USB,Comms_WLAN,Display_Protection,Display_Resolution,Display_Size,Display_Type,EU LABEL_Battery,EU LABEL_Energy,EU LABEL_Free fall,EU LABEL_Repairability,Features_Alarm,Features_Browser,Features_Clock,Features_Games,Features_Java,Features_Languages,Features_Messaging,Features_Sensors,Launch_Announced,Launch_Status,Main Camera_Dual,Main Camera_Dual or Triple,Main Camera_Features,Main Camera_Five,Main Camera_Penta,Main Camera_Quad,Main Camera_Single,Main Camera_Triple,Main Camera_Video,Memory_Call records,Memory_Card slot,Memory_Internal,Memory_Phonebook,Misc_Colors,Misc_Models,Misc_Price,Misc_SAR,Misc_SAR EU,Network_2G bands,Network_3G bands,Network_4G bands,Network_5G bands,Network_EDGE,Network_GPRS,Network_Speed,Network_Technology,Our Tests_Audio quality,Our Tests_Battery,Our Tests_Battery (old),Our Tests_Camera,Our Tests_Display,Our Tests_Loudspeaker,Our Tests_Performance,Platform_CPU,Platform_Chipset,Platform_GPU,Platform_OS,Selfie camera_Dual,Selfie camera_Features,Selfie camera_Single,Selfie camera_Triple,Selfie camera_Video,Sound_3.5mm jack,Sound_Alert types,Sound_Loudspeaker,Unspecified_Unspecified
Motorola,Motorola W230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Up to 450 h,Up to 9 h,Removable Li-Ion 940 mAh battery (BQ50),,110 x 45 x 14.7 mm (4.33 x 1.77 x 0.58 in),,Mini-SIM,80 g (2.82 oz),No,,,No,"Stereo FM radio, RDS",1.1,No,,"128 x 128 pixels, 1:1 ratio (~113 ppi density)","1.6 inches, 8.3 cm2 (~16.7% screen-to-body ratio)","CSTN, 65K colors",,,,,,WAP 2.0/xHTML,,Yes,No,"7 African languages, Hinglish, Bengali, Tamil ...","SMS, EMS, MMS",,"2008, January",Discontinued,,,,,,,,,,"10 dialed, 10 received, 10 missed calls",microSD (dedicated slot),,500 entries,"lustrous silver, dark titanium gray",,About 30 EUR,1.28 W/kg (head)     1.32 W/kg (body),,GSM 900 / 1800,,,,No,Class 10,,GSM,,,,,,,,,,,,,,,,,No,"Vibration; Downloadable polyphonic, MP3 ringtones",Yes,
Motorola,Motorola Rizr Z10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Up to 400 h,Up to 7 h,Removable Li-Ion 1130 mAh battery,,109.7 x 50.7 x 16.8 mm (4.32 x 2.00 x 0.66 in),,Mini-SIM,119 g (4.20 oz),"2.0, A2DP",,,No,No,miniUSB 1.1,No,Scratch-resistant glass,"240 x 320 pixels, 4:3 ratio (~182 ppi density)","2.2 inches, 15.0 cm2 (~26.9% screen-to-body ratio)","TFT, 16M colors",,,,,,WAP 2.0/xHTML,,,,,,,"2007, September. Released 2008, May",Discontinued,,,LED flash,,,,"3.15 MP, AF",,320p@30fps,,microSDHC (dedicated slot),70MB 64MB RAM 128MB ROM,,"Black, Chrome",,About 150 EUR,1.39 W/kg (head)     0.62 W/kg (body),1.10 W/kg (head),GSM 850 / 900 / 1800 / 1900,HSDPA 2100,,,,,HSPA 3.6/0.384 Mbps,GSM / HSPA,,,,,,,,300 MHz ARM 1136,TI OMAP 2420,PowerVR MBX,"Symbian 9.2, UIQ 3.2",,,VGA videocall camera,,,No,"Vibration; Downloadable polyphonic, MP3 ringtones",Yes,
Motorola,Motorola Rokr E8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Up to 300 h,Up to 5 h,Removable Li-Ion 970 mAh battery (BK60),,"115 x 53 x 10.6 mm, 60 cc (4.53 x 2.09 x 0.42 in)",,Mini-SIM,100 g (3.53 oz),"2.0, A2DP",,,No,Stereo FM radio,2.0,No,,"320 x 240 pixels, 4:3 ratio (~200 ppi density)","2.0 inches, 12.4 cm2 (~20.3% screen-to-body ratio)","TFT, 256K colors",,,,,,"WAP 2.0/xHTML, HTML (Opera mini)",,,,,,,"2007, September. Released 2008, April",Discontinued,,,,,,,2 MP,,Yes,,microSD (dedicated slot),2GB,,"Dark Navy, Platinum",,About 70 EUR,1.02 W/kg (head)     0.85 W/kg (body),0.89 W/kg (head),GSM 850 / 900 / 1800 / 1900,,,,Class 12,Class 12,,GSM,,,,,,,,,,,Linux / Java-based MOTOMAGX,,,,,,Yes,"Vibration; Downloadable polyphonic, MP3, AAC ringtones",Yes,
Motorola,Motorola W377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Up to 250 h,Up to 7 h 30 min,Removable Li-Ion battery,,"99 x 45 x 18.6 mm, 73 cc (3.90 x 1.77 x 0.73 in)",,Mini-SIM,95 g (3.35 oz),Yes,,,No,FM radio,miniUSB,No,,128 x 160 pixels (~114 ppi density),"1.8 inches, 28 x 35 mm, 10.2 cm2 (~22.9% screen-to-body ratio)","TFT, 65K colors",,,,,,WAP 2.0/xHTML,,Yes,No,,"SMS, EMS, MMS",,"2007, October",Cancelled,,,,,,,VGA,,No,"10 dialed, 10 received, 10 missed calls",No,10MB,500 entries,"Cannon Gray, Lustrous Silver, Mandarin Orange",,About 70 EUR,,,GSM 900 / 1800 / 1900,,,,No,Class 8,,GSM,,,,,,,,,,,,,,,,,No,"Vibration; Downloadable polyphonic, MP3 ringtones, composer",Yes,
Motorola,Motorola W213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Up to 350 h,Up to 8 h 30 min,Removable Li-Ion battery,,108 x 44 x 14.9 mm (4.25 x 1.73 x 0.59 in),,Mini-SIM,78 g (2.75 oz),No,,,No,FM radio (W213 only),1.1,No,,"128 x 128 pixels, 1:1 ratio (~117 ppi density)","1.55 inches, 7.7 cm2 (~16.3% screen-to-body ratio)","CSTN, 65K colors",,,,,,WAP 2.0/xHTML,,"Tetris, Sudoku",No,,"SMS, EMS, MMS, Instant Messaging",,"2007, October",Discontinued,,,,,,,,,,"10 dialed, 10 received, 10 missed calls",No,1MB,500 numbers,Black,,About 70 EUR,1.50 W/kg (head)     0.71 W/kg (body),,GSM 900 / 1800,,,,No,Yes,,GSM,,,,,,,,,,,,,,,,,No,"Vibration; Polyphonic(32) ringtones, composer",No,
Motorola,Motorola W180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Up to 465 h,Up to 9 h 50 min,Removable Li-Ion battery,,114 x 43 x 14 mm (4.49 x 1.69 x 0.55 in),,Mini-SIM,85 g (3.00 oz),No,,,No,FM radio (W180 only),1.1,No,,"128 x 128 pixels, 1:1 ratio (~106 ppi density)","1.7 inches, 9.3 cm2 (~19.0% screen-to-body ratio)","CSTN, 65K colors",,,,,,No,,3 pre-loaded games,No,,SMS,,"2007, October. Released 2008, January",Discontinued,,,,,,,,,,"10 dialed, 10 received, 10 missed calls",No,70 KB,500 numbers,Black,,About 30 EUR,0.79 W/kg (head)     1.40 W/kg (body),,GSM 900 / 1800,,,,No,No,,GSM,,,,,,,,,,,,,,,,,No,Vibration; Downloadable polyphonic ringtones,Yes,
Motorola,Motorola W160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Up to 465 h,Up to 9 h 50 min,Removable Li-Ion battery,,114 x 43 x 14 mm (4.49 x 1.69 x 0.55 in),,Mini-SIM,85 g (3.00 oz),No,,,No,FM radio (W160 only),1.1,No,,"128 x 128 pixels, 1:1 ratio",,Monochrome graphics,,,,,,No,,3 pre-loaded games,No,,SMS,,"2007, October",Cancelled,,,,,,,,,,"10 dialed, 10 received, 10 missed calls",No,20 KB,100 numbers,Black,,About 20 EUR,,,GSM 900 / 1800,,,,No,No,,GSM,,,,,,,,,,,,,,,,,No,Vibration; Downloadable polyphonic ringtones,Yes,
Motorola,Motorola U9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Up to 350 h,Up to 7 h,Removable Li-Ion battery,,"90 x 48.6 x 16.4 mm, 57 cc (3.54 x 1.91 x 0.65 in)",,Mini-SIM,87.5 g (3.07 oz),"2.0, A2DP",,,No,No,2.0,No,,"240 x 320 pixels, 4:3 ratio (~200 ppi density)","2.0 inches, 12.4 cm2 (~28.3% screen-to-body ratio)","TFT, 256K colors",,,,,,WAP 2.0/xHTML,,,,,,,"2007, October. Released 2008, February",Discontinued,,,,,,,2 MP,,Yes,,microSD (dedicated slot),25MB,,"Pink, Purple",,About 70 EUR,1.36 W/kg (head)     0.56 W/kg (body),1.02 W/kg (head),GSM 850 / 900 / 1800 / 1900,,,,Class 12,Class 12,,GSM,,,,,,,,,,,Linux / Java-based MOTOMAGX,,,,,,No,"Vibration; Downloadable polyphonic, MP3 ringtones",No,
Motorola,Motorola V1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Up to 300 h,Up to 3 h,Removable Li-Ion 1130 mAh battery,,"100 x 48 x 18.9 mm, 79.9 cc (3.94 x 1.89 x 0.74 in)",,Mini-SIM,115 g (4.06 oz),Yes,,,No,No,miniUSB,No,,"240 x 320 pixels, 4:3 ratio",,"TFT, 256K colors",,,,,,WAP 2.0/xHTML,,Yes + downloadable,"Yes, MIDP 2.0",,"SMS, EMS, MMS",,"2007, March",Discontinued,,,,,,,1.3 MP,,Yes,"10 dialed, 10 received, 10 missed calls",No,64MB,"1000 entries, Photo call",Black,,About 80 EUR,,,GSM 900 / 1800 / 1900,UMTS 2100,,,,,"Yes, 384 kbps",GSM / UMTS,,,,,,,,,,,,,,Videocall camera,,,No,"Vibration; Downloadable polyphonic, MP3 ringtones",Yes,
Motorola,Motorola Pebl U3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Up to 220 h,Up to 4 h,Removable Li-Ion 900 mAh battery,,87.5 x 49 x 22.2 mm (3.44 x 1.93 x 0.87 in),,Mini-SIM,105 g (3.70 oz),No,,,No,No,miniUSB,No,,128 x 160 pixels (~108 ppi density),"1.9 inches, 11.4 cm2 (~26.5% screen-to-body ratio)","TFT, 256K colors",,,,,,WAP 2.0/xHTML,,Yes + downloadable,"Yes, MIDP 2.0",,"SMS, EMS, MMS, EMail, Instant Messaging",,"2007, September. Released 2008, December",Discontinued,,,,,,,VGA,,Yes,"10 dialed, 10 received, 10 missed calls",No,10MB,"1000 entries, Photo call",,,About 60 EUR,1.43 W/kg (head)     0.73 W/kg (body),0.81 W/kg (head),GSM 850 / 900 / 1800 / 1900,,,,Class 10,Class 10,,GSM,,,,,,,,,,,,,,,,,No,"Vibration; Downloadable polyphonic, MP3 ringtones, composer",No,
Motorola,Motorola Razr2 V9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Up to 260 h,Up to 3 h 30 min,Removable Li-Ion 950 mAh battery,,103 x 53 x 13.3 mm (4.06 x 2.09 x 0.52 in),,Mini-SIM,125 g (4.41 oz),"2.0, A2DP",,,No,No,microUSB 2.0,No,,"240 x 320 pixels, 4:3 ratio (~182 ppi density)","2.2 inches, 15.0 cm2 (~27.5% screen-to-body ratio)","TFT, 256K colors",,,,,,"WAP 2.0/xHTML, HTML (Opera 8)",,Yes,"Yes, MIDP 2.0",,"SMS, EMS, MMS, Email, Instant Messaging",,"2007, May",Discontinued,,,,,,,2 MP,,QCIF,"30 dialed, 30 received, 30 missed calls",microSD (dedicated slot),45MB,"1000 entries, Photocall",,,About 100 EUR,0.52 W/kg (head)     0.96 W/kg (body),0.42 W/kg (head),GSM 850 / 900 / 1800 / 1900,HSDPA 2100,,,,,HSPA 3.6/0.384 Mbps,GSM / HSPA,,,,,,,,,,,,,,,,,No,"Vibration; Downloadable polyphonic, MP3 ringtones",Yes,
Motorola,Motorola Razr2 V8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Up to 330 h,Up to 7 h 50 min,Removable Li-Ion 770 mAh battery,,103 x 53 x 11.9 mm (4.06 x 2.09 x 0.47 in),,Mini-SIM,117 g (4.13 oz),"2.0, A2DP",,,No,No,microUSB 2.0,No,,"240 x 320 pixels, 4:3 ratio (~182 ppi density)","2.2 inches, 15.0 cm2 (~27.5% screen-to-body ratio)","TFT, 256K colors",,,,,,"WAP 2.0/xHTML, HTML (Opera 8.5)",,,,,,,"2007, May",Discontinued,,,,,,,2 MP,,QCIF,,No,2GB,,Dark Pearl Gray,,About 120 EUR,0.30 W/kg (head)     0.34 W/kg (body),0.34 W/kg (head),GSM 850 / 900 / 1800 / 1900,,,,Class 12,Class 10,,GSM,,,,,,,,,,,Linux / Java-based MOTOMAGX,,,,,,No,"Vibration; Downloadable polyphonic, MP3 ringtones",Yes,
Motorola,Motorola Rokr W5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Up to 340 h,Up to 7 h,Removable Li-Ion 880 mAh battery,,"99 x 46 x 17.5 mm, 70 cc (3.90 x 1.81 x 0.69 in)",,Mini-SIM,107 g (3.77 oz),"1.2, A2DP",,,No,No,1.1,No,,176 x 220 pixels (~148 ppi density),"1.9 inches, 11.4 cm2 (~24.9% screen-to-body ratio)","TFT, 256K colors",,,,,,WAP 2.0/xHTML,,Yes,"Yes, MIDP 2.0",,"SMS, EMS, MMS",,"2007, September",Discontinued,,,,,,,1.3 MP,,Yes,"40 dialed, 40 received, 40 missed calls",microSD (dedicated slot),20MB,"1000 entries, Photocall",Dark Pearl Gray,,About 100 EUR,1.08 W/kg (head)     0.55 W/kg (body),0.76 W/kg (head),GSM 850 / 900 / 1800 / 1900,,,,Class 10,Class 10,,GSM,,,,,,,,,,,,,,,,,No,"Vibration; Downloadable polyphonic, MP3 ringtones",Yes,
Motorola,Motorola W490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Up to 350 h,Up to 7 h 30 min,Removable Li-Ion battery,,98.8 x 48 x 17.3 mm (3.89 x 1.89 x 0.68 in),,Mini-SIM,107 g (3.77 oz),"2.0, A2DP",,,No,No,miniUSB,No,,176 x 220 pixels (~148 ppi density),"1.9 inches, 11.4 cm2 (~24.0% screen-to-body ratio)","TFT, 256K colors",,,,,,WAP 2.0/xHTML,,Yes,"Yes, MIDP 2.0",,"SMS, MMS, Email",,"2007, September. Released 2007, October",Discontinued,,,,,,,1.3 MP,,Yes,"40 dialed, 40 received, 40 missed calls",microSD (dedicated slot),5MB,"1000 entries, Photocall","Black, Purple, Green",,About 50 EUR,1.08 W/kg (head)     0.55 W/kg (body),0.76 W/kg (head),GSM 850 / 900 / 1800 / 1900,,,,No,Class 10,,GSM,,,,,,,,,,,,,,,,,No,"Vibration; Downloadable polyphonic, MP3, AAC, MIDI ringtones",Yes,
Motorola,Motorola W395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Up to 200 h,Up to 8 h 30 min,Removable Li-Ion 850 mAh battery,,99 x 45 x 18.1 mm (3.90 x 1.77 x 0.71 in),,Mini-SIM,97 g (3.42 oz),2.0,,,No,No,2.0,No,,128 x 160 pixels,,"TFT, 65K colors",,,,,,WAP 2.0/xHTML,,Yes,"Yes, MIDP 2.0",,"SMS, MMS, Email, Instant Messaging",,"2007, March. Released 2008",Discontinued,,,,,,,1.3 MP,,Yes,"40 dialed, 40 received, 40 missed calls",microSD (dedicated slot),5MB,"700 entries, Photocall",,,About 80 EUR,1.23 W/kg (head)     0.46 W/kg (body),0.84 W/kg (head),GSM 850 / 900 / 1800 / 1900,,,,No,Class 10,,GSM,,,,,,,,,,,,,,,,,No,"Vibration; Downloadable polyphonic, MP3, AAC ringtones",Yes,
Motorola,Motorola W380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Up to 200 h,Up to 8 h 30 min,Removable Li-Ion 850 mAh battery,,99 x 45 x 18.2 mm (3.90 x 1.77 x 0.72 in),,Mini-SIM,97 g (3.42 oz),No,,,No,FM radio,2.0,No,,128 x 160 pixels,,"TFT, 65K colors",,,,,,WAP 2.0/xHTML,,Yes,"Yes, MIDP 2.0",,"SMS, EMS, MMS, Instant Messaging",,"2007, March. Released 2008",Discontinued,,,,,,,VGA,,Yes,"40 dialed, 40 received, 40 missed calls",No,7MB,"Yes, Photocall",,,About 80 EUR,,,GSM 900 / 1800 / 1900,,,,No,Yes,,GSM,,,,,,,,,,,,,,,,,No,"Vibration; Downloadable polyphonic, MP3, AAC ringtones",Yes,
Motorola,Motorola W360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Up to 300 h,Up to 7 h,Removable Li-Ion 850 mAh battery,,"113 x 47 x 11.9 mm, 65 cc (4.45 x 1.85 x 0.47 in)",,Mini-SIM,98 g (3.46 oz),No,,,No,FM radio,1.1,No,,128 x 160 pixels (~128 ppi density),"1.6 inches, 8.1 cm2 (~15.2% screen-to-body ratio)","TFT, 65K colors",,,,,,WAP 2.0/xHTML,,Yes + downloadable,Yes,,"SMS, EMS, MMS",,"2007, March",Discontinued,,,,,,,VGA,,No,"10 dialed, 10 received, 10 missed calls",No,5MB,"Yes, Photocall",,,About 60 EUR,1.49 W/kg (head)     1.33 W/kg (body),,GSM 900 / 1800,,,,No,No,,GSM,,,,,,,,,,,,,,,,,No,"Vibration; Polyphonic, MP3 ringtones",Yes,
Motorola,Motorola W218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Up to 300 h,Up to 7 h,Removable Li-Ion 850 mAh battery,,109 x 45 x 15 mm (4.29 x 1.77 x 0.59 in),,Mini-SIM,78 g (2.75 oz),No,,,No,Stereo FM radio,No,No,,"128 x 128 pixels, 1:1 ratio (~113 ppi density)","1.6 inches, 8.3 cm2 (~16.8% screen-to-body ratio)","TFT, 65K colors",,,,,,No,,Yes,No,,SMS,,"2007, March",Discontinued,,,,,,,VGA,,No,"10 dialed, 10 received, 10 missed calls",No,500 KB,"500 entries, Photocall",,,About 30 EUR,1.00 W/kg (head)     0.64 W/kg (body),,GSM 900 / 1800,,,,No,No,,GSM,,,,,,,,,,,,,,,,,No,Vibration; Polyphonic ringtones,Yes,
Motorola,Motorola Rizr Z8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Up to 380 h,Up to 5 h,Removable Li-Ion 1030 mAh battery (BK70),,"109 x 50 x 15 mm, 77 cc (4.29 x 1.97 x 0.59 in)",,Mini-SIM,112 g (3.95 oz),"2.0, A2DP",,,No,No,miniUSB 2.0,No,,"240 x 320 pixels, 4:3 ratio (~182 ppi density)","2.2 inches, 15.0 cm2 (~27.5% screen-to-body ratio)","TFT, 16M colors",,,,,,WAP 2.0/xHTML,,,,,,,"2007, February",Discontinued,,,LED flash,,,,2 MP,,320p,,microSD (dedicated slot),77MB,,Black,,About 110 EUR,0.91 W/kg (head)     0.58 W/kg (body),1.13 W/kg (head),GSM 850 / 900 / 1800 / 1900,HSDPA 2100,,,,,HSPA 3.6/0.384 Mbps,GSM / HSPA,,,,,,,,300 MHz  ARM 1136,TI OMAP 2420,PowerVR MBX,"Symbian 9.2, UIQ 3.1",,,VGA videocall camera,,,No,"Vibration; Downloadable polyphonic, MP3 ringtones",Yes,
